Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
PURE SHINE LIPSTICK 05 MILKY PINK,8806173433278,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,70099,190000,20,VAT10,inclusive,,,,NK0181,,,,,
CITY CARE MARINE WATER CREAM,8806173440085,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,134622,365000,20,VAT10,inclusive,,,,NJ0847,,,,,
BEAUTY TOOL BLOCK SHADOW TIP,8806173433520,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,19915,55000,20,VAT10,inclusive,,,,NK0208,,,,,
HERB BLENDING TONER,8806173436668,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,182417,492000,20,VAT10,inclusive,,,,NK0526,,,,,
HERB BLENDING EMULSION,8806173436675,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,182417,492000,20,VAT10,inclusive,,,,NK0527,,,,,
HERB BLENDING EYE CREAM,8806173436705,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,198348,535000,20,VAT10,inclusive,,,,NK0530,,,,,
GINSENG ROYAL SILK BOOSTING AMPOULE,8806173436064,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,398290,1075000,20,VAT10,inclusive,,,,NK0464,,,,,
AFRICA BIRD HOMME ALL IN ONE BRIGHTENING ESSENCE SPF28PA+++,8806173441204,code128,Nature Republic,For Men,Pcs,Pcs,Pcs,199145,538000,20,VAT10,inclusive,,,,NJ0978,,,,,
REAL NATURE GREEN TEA MASK SHEET ,8806173416981,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,7577,18000,500,VAT10,inclusive,,,,NM7754,,,,,
REAL NATURE ALOE MASK SHEET ,8806173416998,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,7577,18000,500,VAT10,inclusive,,,,NM7755,,,,,
REAL NATURE BAMBOO MASK SHEET ,8806173417032,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,7577,18000,500,VAT10,inclusive,,,,NM7759,,,,,
ARGAN ESSENTIAL HYDRO HAIR ESSENCE,8806173422845,code128,Nature Republic,Hair Care,Pcs,Pcs,Pcs,55761,152000,20,VAT10,inclusive,,,,NL8350,,,,,
REAL NATURE CRANBERRY PEELING GEL ,8806173419609,code128,Nature Republic,Peeling,Pcs,Pcs,Pcs,54964,150000,20,VAT10,inclusive,,,,NL8021,,,,,
REAL SQUEEZE ALOE VERA MOISTURE FOOT MASK,8806173424450,code128,Nature Republic,Foot Care,Pcs,Pcs,Pcs,27881,78000,50,VAT10,inclusive,,,,NL8511,,,,,
