Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
PROVENCE CREAMY GEL EYELINER 05 BURGUNDY,8.80617E+12,code128,Nature Republic,Eye Makeup,Pcs,Pcs,Pcs,63727,172000,20,VAT10,inclusive,,,,NL8149,,,,,
BEAUTY TOOL NATURAL WATER JET COTTON,8.80617E+12,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,19896,55000,20,VAT10,inclusive,,,,NK0377,,,,,
BEAUTY TOOL COTTON SWAB 300PCS,8.80617E+12,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,7959,22000,50,VAT10,inclusive,,,,NK0379,,,,,
BYFLOWER TRIPLE VOLUME TINT 05 CAMELLIA,8.80617E+12,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,79658,215000,20,VAT10,inclusive,,,,NM7963,,,,,
PROVENCE ALL IN ONE DUAL STRETCH MASCARA,8.80617E+12,code128,Nature Republic,Eye Makeup,Pcs,Pcs,Pcs,143385,388000,20,VAT10,inclusive,,,,NL8698,,,,,
GINSENG ROYAL SILK MASCARA & FIXER,8.80617E+12,code128,Nature Republic,Eye Makeup,Pcs,Pcs,Pcs,183213,495000,20,VAT10,inclusive,,,,NK0601,,,,,
NATUREREPUBLIC MULTIPLE TOUCH STICK 10 ALMOND,8.80617E+12,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,95590,258000,20,VAT10,inclusive,,,,NK0353,,,,,
GLITTER LINER 03 COCKTAIL PINK,8.80617E+12,code128,Nature Republic,Eye Makeup,Pcs,Pcs,Pcs,55761,152000,20,VAT10,inclusive,,,,NK0197,,,,,
REAL NATURE SHEA BUTTER MASK SHEET ,8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,7577,18000,500,VAT10,inclusive,,,,NM7757,,,,,
SNAIL SOLUTION HYDROGEL EYE PATCH,8.80617E+12,code128,Nature Republic,Patch,Pcs,Pcs,Pcs,23898,65000,50,VAT10,inclusive,,,,NL8587,,,,,
BLACKHEAD CLEAR  NOSE PACK(1EA),8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,3983,18000,100,VAT10,inclusive,,,,NL8566,,,,,
SOOTHING & MOISTURE ALOE VERA 80% EMULSION,8.80617E+12,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,70099,190000,20,VAT10,inclusive,,,,NM7677,,,,,
BEAUTY TOOL PORE CLEASING BRUSH,8.80617E+12,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,181828,538000,20,VAT10,inclusive,,,,NL9135,,,,,
BEAUTY TOOL COCOON SILK BALL(20EA),8.80617E+12,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,43770,118000,20,VAT10,inclusive,,,,NK0089,,,,,
CREAMY LIPSTICK 11 DRY ROSE,8.80617E+12,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,95590,258000,20,VAT10,inclusive,,,,NK0114,,,,,
BYFLOWER TRIPLE MOUSSE TINT 05 BRICK RED MOUSSE,8.80617E+12,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,79658,215000,20,VAT10,inclusive,,,,NK0567,,,,,
BOTANICAL CAKE EYEBROW 01 KHAKI GRAY/DARK BROWN,8.80617E+12,code128,Nature Republic,Eye Makeup,Pcs,Pcs,Pcs,61337,168000,20,VAT10,inclusive,,,,NK0198,,,,,
SOOTHING & MOISTURE ALOE VERA 92% SOOTHING GEL(TUBE),8.80617E+12,code128,Nature Republic,Body Care,Pcs,Pcs,Pcs,39033,102000,50,VAT10,inclusive,,,,NJ1062,,,,,
"GINSENG ROYAL SILK POWDER 01PURE BEIGE SPF26,PA+",8.80617E+12,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,262871,708000,20,VAT10,inclusive,,,,NK0461,,,,,
PROVENCE MARBLE HIGHLIGHTER 01 BLOOM PEACH,8.80617E+12,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,134622,365000,20,VAT10,inclusive,,,,NL8069,,,,,
SOOTHING & MOISTURE CACTUS 92% SOOTHING GEL,8.80617E+12,code128,Nature Republic,Body Care,Pcs,Pcs,Pcs,61337,160000,50,VAT10,inclusive,,,,NK0822,,,,,
COCONUT BIO SKIN MASK [REVITAL],8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,23898,65000,50,VAT10,inclusive,,,,NL8647,,,,,
BEAUTY TOOL POWDER BRUSH,8.80617E+12,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,87278,258000,20,VAT10,inclusive,,,,NL8909,,,,,
SOOTHING & MOISTURE ALOE VERA 92% SOOTHING GEL,8.80617E+12,code128,Nature Republic,Body Care,Pcs,Pcs,Pcs,35050,98000,20,VAT10,inclusive,,,,NL8084,,,,,
REAL NATURE ROYAL JELLY MASK SHEET ,8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,7577,18000,500,VAT10,inclusive,,,,NM7748,,,,,
REAL NATURE TOMATO MASK SHEET ,8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,7577,18000,500,VAT10,inclusive,,,,NM7753,,,,,
